"항목",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"항목",계,계,전기적요인,전기적요인,기계적요인,기계적요인,화학적요인,화학적요인,가스누출,가스누출,교통사고,교통사고,부주의,부주의,기타,기타,자연적요인,자연적요인,방화,방화,방화의심,방화의심,미상,미상,계,계,전기적요인,전기적요인,기계적요인,기계적요인,화학적요인,화학적요인,가스누출,가스누출,교통사고,교통사고,부주의,부주의,기타,기타,자연적요인,자연적요인,방화,방화,방화의심,방화의심,미상,미상,계,계,전기적요인,전기적요인,기계적요인,기계적요인,화학적요인,화학적요인,가스누출,가스누출,교통사고,교통사고,부주의,부주의,기타,기타,자연적요인,자연적요인,방화,방화,방화의심,방화의심,제품결함,제품결함,미상,미상
"항목",사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상,사망,부상
"합계",365,1918,39,359,4,126,11,64,11,83,14,6,77,764,2,39,0,2,27,78,39,61,141,336,276,1854,42,276,4,105,2,79,1,78,13,17,67,760,2,31,0,2,25,77,23,63,97,366,341,2327,48,410,2,102,6,81,6,141,9,19,74,895,10,20,0,5,43,78,35,53,1,18,107,505
"1월",44,144,9,30,0,7,0,5,6,18,0,0,11,50,0,2,0,0,2,8,3,6,13,18,40,208,3,34,0,18,0,5,1,21,2,2,13,79,0,0,0,0,2,13,3,2,16,34,41,229,6,38,0,6,0,5,2,16,2,3,11,103,3,1,0,0,3,7,2,3,0,0,12,47
"2월",28,150,2,16,0,13,0,1,0,8,2,0,8,68,0,0,0,0,3,10,3,7,10,27,31,187,9,24,2,6,0,4,0,4,1,0,5,105,0,1,0,0,1,6,2,9,11,28,28,230,2,24,0,18,0,3,0,7,0,0,9,100,1,0,0,0,0,9,4,4,0,1,12,64
"3월",40,192,7,33,1,10,0,10,0,10,1,1,12,85,0,2,0,0,4,8,2,10,13,23,23,205,1,18,1,2,1,15,0,4,1,3,7,63,0,4,0,0,5,14,2,13,5,69,32,162,6,23,0,6,0,3,0,9,0,2,7,64,0,0,0,1,4,9,6,10,0,0,9,35
"4월",72,197,5,60,1,5,0,6,0,2,2,0,9,74,1,2,0,0,0,6,7,4,47,38,21,170,5,15,0,10,1,10,0,5,1,1,4,85,0,7,0,0,3,6,2,4,5,27,31,222,1,33,0,5,2,3,1,20,0,0,9,101,0,1,0,1,8,6,0,2,0,0,10,50
"5월",22,127,2,25,0,7,1,4,1,3,1,0,6,57,0,4,0,0,2,6,3,4,6,17,22,178,2,18,1,14,0,5,0,4,2,5,7,64,0,2,0,0,3,7,2,3,5,56,28,204,6,14,0,4,1,8,1,19,1,4,4,112,0,4,0,0,1,6,1,2,1,0,12,31
"6월",19,110,1,23,0,3,1,0,2,4,4,2,0,49,0,2,0,0,0,5,1,3,10,19,26,114,7,8,0,13,0,7,0,6,1,3,4,46,0,1,0,1,3,6,1,3,10,20,33,148,3,37,0,9,1,5,1,7,1,2,3,50,0,1,0,0,11,8,4,3,0,2,9,24
"7월",28,180,3,12,0,25,0,6,1,11,3,0,6,71,0,9,0,1,2,12,7,1,6,32,16,95,0,19,0,12,0,5,0,4,1,0,1,41,1,1,0,0,1,0,3,1,9,12,14,158,3,45,1,5,0,6,0,2,0,3,1,46,0,0,0,0,2,6,4,15,0,2,3,28
"8월",8,150,2,46,0,17,1,2,0,4,0,0,0,38,0,4,0,1,2,6,3,4,0,28,11,136,1,39,0,4,0,7,0,6,1,1,1,43,0,4,0,0,1,0,1,5,6,27,20,196,7,82,0,8,0,10,0,15,0,0,2,38,1,4,0,1,2,7,4,4,0,2,4,25
"9월",14,123,2,36,0,5,2,6,0,7,0,1,1,45,0,1,0,0,1,2,1,3,7,17,13,100,0,24,0,7,0,4,0,2,1,1,5,42,0,0,0,0,1,1,2,0,4,19,22,153,2,22,0,6,2,19,1,13,0,2,8,42,0,3,0,1,3,7,2,3,0,3,4,32
"10월",25,161,2,24,1,11,1,8,0,4,0,1,3,68,1,3,0,0,7,9,3,2,7,31,15,139,4,21,0,5,0,6,0,5,0,1,5,60,0,2,0,0,4,8,1,8,1,23,27,132,5,24,0,2,0,5,0,6,1,1,6,64,0,2,0,1,2,3,5,3,0,4,8,17
"11월",31,183,2,13,0,13,4,14,0,6,0,0,9,68,0,7,0,0,2,6,3,14,11,42,20,137,2,21,0,5,0,7,0,13,1,0,7,52,1,6,0,0,1,8,1,2,7,23,23,190,2,22,0,22,0,7,0,18,3,2,7,72,5,4,0,0,2,5,0,0,0,0,4,38
"12월",34,201,2,41,1,10,1,2,1,6,1,1,12,91,0,3,0,0,2,0,3,3,11,44,38,185,8,35,0,9,0,4,0,4,1,0,8,80,0,3,0,1,0,8,3,13,18,28,42,303,5,46,1,11,0,7,0,9,1,0,7,103,0,0,0,0,5,5,3,4,0,4,20,114
